,Country,2015 Happiness Score,2016 Happiness Score,2015 Mean PM2.5 (ug/m3),2016 Mean PM2.5 (ug/m3),Latitude,Longitude,2015 Air Pollution Deaths Per 100k,2016 Air Pollution Deaths Per 100k
115,Botswana,4.332,3.974,22.81560495,23.13720408,-22.328474,24.684866,75.07,72.0
116,Myanmar,4.307,4.395,49.0184174,48.81135881,21.916221,95.955974,123.97,120.87
117,Georgia,4.297,4.252,20.65877042,20.73469811,32.1656221,-82.9000751,69.46,70.04
118,Malawi,4.292,4.1560000000000015,28.14745929,28.25982321,-13.254308,34.301525,109.0,106.87
119,Sri Lanka,4.271,4.415,25.7665375,25.63520757,7.873053999999999,80.77179699999999,52.57,43.27
120,Cameroon,4.252,4.513,134.7937498,139.70579009999997,7.369721999999999,12.354722,122.51,118.33
121,Bulgaria,4.218,4.217,25.67960257,25.64668767,42.733883,25.48583,53.67,51.78
122,Egypt,4.194,4.362,124.87512720000001,126.02823149999999,26.820553,30.802498,115.05,114.11
123,Yemen,4.077,3.724,71.70694713,72.55386478,15.552727,48.516388,99.42,97.02
124,Angola,4.033,3.866,35.78846911,36.24047917,-11.202692,17.873887,100.24,97.12
125,Mali,3.995,4.073,88.60765606,92.21011675,17.570692,-3.996166,107.98,108.83
126,Comoros,3.956,3.956,19.03326428,19.14635158,-11.6455,43.3333,97.49,95.46
127,Uganda,3.931,3.739,72.75637349,73.51172275,1.373333,32.290275,97.85,95.54
128,Senegal,3.904,4.2189999999999985,55.53094798,56.76633608,14.497401,-14.452362,108.66,107.07
129,Gabon,3.896,4.121,46.849398799999996,47.39460459,-0.803689,11.609444,74.19,72.87
130,Niger,3.845,3.856,190.88412580000002,203.74389169999998,17.607789,8.081666,140.95,140.37
131,Cambodia,3.819,3.907,26.16182574,26.14133409,12.565679,104.990963,111.89,109.49
132,Tanzania,3.781,3.666,22.38670539,22.34930727,-6.369028,34.888822,99.15,97.67
133,Madagascar,3.681,3.695,21.37734361,21.47496474,-18.766947,46.869107,160.59,157.44
134,Chad,3.667,3.763,91.67430903,95.6736091,15.454166,18.732207,163.49,161.38
135,Guinea,3.656,3.607,44.54593968,46.14092124,9.945587,-9.696645,167.47,163.77
136,Burkina Faso,3.587,3.739,104.8944257,110.7308018,12.238333,-1.561593,137.96,136.0
137,Afghanistan,3.575,3.36,62.08023415,62.85485658,33.93911,67.709953,191.8,186.67
138,Rwanda,3.465,3.515,52.50980919,52.79013012,-1.940278,29.873888,100.56,98.5
139,Benin,3.34,3.484,90.46634825,95.96032285,9.30769,2.315834,119.29,115.81
140,Burundi,2.905,2.905,46.45019464,46.28293462,-3.373056,29.918886,146.91,144.36
141,Togo,2.839,3.303,80.14973985,84.14439034,8.619543,0.824782,121.15,118.16
