Year,Country,Code,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
2015,Cyprus,CYP,27.6086077,0.200410229,25.01751325,2.9993392310000004
2016,Cyprus,CYP,25.96171468,0.20490589999999997,23.36870549,2.954873381
2015,Czech Republic,CZE,32.41577614,1.027927602,29.57759673,2.247697139
2016,Czech Republic,CZE,30.79152674,1.021157852,27.98094233,2.201952086
2015,Democratic Republic of Congo,COD,148.4421017,117.2770255,27.72047632,6.400915352999999
2016,Democratic Republic of Congo,COD,145.1997116,113.3915586,28.29788198,6.4759685870000006
2015,Denmark,DNK,19.89119418,0.11022028199999999,17.38160086,2.819238274
2016,Denmark,DNK,19.31916138,0.10954123800000001,16.78729836,2.8284532430000002
2015,Djibouti,DJI,83.49410649,35.26479576,46.8154501,2.085631423
2016,Djibouti,DJI,82.47695240000002,33.95336029999999,47.03830555,2.184712244
2015,Dominica,DMA,38.88421399,7.372724433999999,31.51147543,1.82812e-05
2016,Dominica,DMA,38.2345697,7.083231775,31.15131929,2.4444200000000002e-05
2015,Dominican Republic,DOM,38.94723638,12.50771296,25.5416008,1.11366344
2016,Dominican Republic,DOM,37.68676363,12.02749538,24.73403077,1.135970877
2015,East Asia,,78.32763847,18.86209204,51.95192624,11.39453874
2016,East Asia,,74.83217257,18.51858431,48.78088423,11.22356516
2015,Eastern Europe,,51.76034686,1.752001359,48.81856376,1.465350655
2016,Eastern Europe,,49.2258893,1.634565258,46.42203597,1.4319860830000002
2015,Eastern Sub-Saharan Africa,,109.6378193,89.92156035,18.52785863,2.103344715
2016,Eastern Sub-Saharan Africa,,107.1505325,87.21901597,18.73241902,2.108758902
2015,Ecuador,ECU,28.04182865,3.518001247,23.95176445,0.70560332
2016,Ecuador,ECU,27.55363737,3.3566206380000003,23.62203875,0.7049726
2015,Egypt,EGY,115.0514963,1.0701722679999999,111.0628064,4.4806515860000005
2016,Egypt,EGY,114.10889109999998,0.86761179,110.2777459,4.551895382
2015,El Salvador,SLV,48.85354961,17.75887,29.97389634,1.5239705819999998
2016,El Salvador,SLV,47.00602627,17.08333939,28.79898106,1.513729128
2015,England,,18.27982195,0.211632605,16.63328775,1.69332716
2016,England,,17.99348693,0.2045924,16.33570163,1.7104104530000002
2015,Equatorial Guinea,GNQ,80.35685038,42.00401618,37.55180524,1.282663815
2016,Equatorial Guinea,GNQ,79.70653632,39.93560516,38.94641163,1.315420262
2015,Eritrea,ERI,141.0294819,101.657208,37.19493826,3.7803601689999997
2016,Eritrea,ERI,136.95354619999998,98.41313912,36.36123194,3.7619938389999996
2015,Estonia,EST,16.53077525,4.3063940380000005,11.63883325,0.666571205
2016,Estonia,EST,15.98226816,4.046433005,11.36116081,0.650877564
2015,Ethiopia,ETH,93.57869971,76.01804826,16.60148733,1.736261407
2016,Ethiopia,ETH,90.64138257,72.65922548,17.00678718,1.7490932380000002
2015,Fiji,FJI,108.36339050000001,63.73648974,44.52781647,0.125030434
2016,Fiji,FJI,103.64606409999999,60.83021611,42.71538538,0.126206076
2015,Finland,FIN,8.690690777,0.14122051300000002,7.8400723160000005,0.77519559
2016,Finland,FIN,8.401696211,0.133322521,7.544358233,0.787174977
2015,France,FRA,12.83499259,0.098971365,11.763785400000002,1.164517929
2016,France,FRA,11.96790678,0.095674805,10.91680944,1.135190771
2015,Gabon,GAB,74.19116883,13.38805523,59.94010644,1.212704921
2016,Gabon,GAB,72.87385788,12.13215104,59.86522349,1.2297235009999998
2015,Gambia,GMB,138.24444540000002,109.5800412,27.40310081,2.223279862
2016,Gambia,GMB,135.86485990000003,109.3508382,25.21402206,2.274023471
2015,Georgia,GEO,69.46115289,31.48924147,35.91634218,2.834441529
2016,Georgia,GEO,70.03537348,32.45627075,35.44636604,2.904764253
2015,Germany,DEU,20.47622377,0.29463225600000004,18.2273438,2.346056078
2016,Germany,DEU,20.10402258,0.294802299,17.82352987,2.363617044
2015,Ghana,GHA,111.13618840000001,74.81339497,35.46411489,1.349688616
2016,Ghana,GHA,109.08762409999999,70.93795089,37.28267345,1.357658535
2015,Greece,GRC,26.90073306,0.284381709,24.46883344,2.664547979
2016,Greece,GRC,25.785656600000003,0.294305658,23.34623146,2.638031626
2015,Greenland,GRL,34.14105106,0.653822017,30.29621569,3.7562483189999996
2016,Greenland,GRL,33.07838493,0.6130735589999999,29.35643537,3.6585071819999997
2015,Grenada,GRD,51.09059738,5.028059708,45.6063947,0.590718929
2016,Grenada,GRD,49.95005973,4.763876375,44.75349876,0.556128285
2015,Guam,GUM,45.34053854,7.538858003,37.66429061,0.166186739
2016,Guam,GUM,44.09865633,7.653258597000001,36.30275071,0.17145293
2015,Guatemala,GTM,66.88970302,43.32062855,22.89200656,0.9898479990000001
2016,Guatemala,GTM,66.82009808,43.32011911,22.80938647,1.000317356
2015,Guinea,GIN,167.47244780000003,146.84928380000002,19.08691666,2.842831377
2016,Guinea,GIN,163.76973080000002,144.13642180000002,18.06004345,2.882669419
2015,Guinea-Bissau,GNB,169.5564982,143.7944218,24.32328042,2.637025011
2016,Guinea-Bissau,GNB,165.7776692,141.40366219999999,22.90986795,2.663380945
