,Country,2015 Happiness Rank,2015 Happiness Score,2016 Happiness Rank,2016 Happiness Score,2015 Air Pollution Deaths Per 100k,2016 Air Pollution Deaths Per 100k
114,Kenya,125,4.419,122,4.356,93.82,92.05
115,Armenia,127,4.35,121,4.36,67.16,64.86
116,Botswana,128,4.332,137,3.9739999999999998,75.07,72.0
117,Myanmar,129,4.3069999999999995,119,4.395,123.97,120.87
118,Georgia,130,4.297,126,4.252,69.46,70.04
119,Malawi,131,4.292,132,4.156000000000001,109.0,106.87
120,Sri Lanka,132,4.271,117,4.415,52.57,43.27
121,Cameroon,133,4.252,114,4.513,122.51,118.33
122,Bulgaria,134,4.218,129,4.217,53.67,51.78
123,Egypt,135,4.194,120,4.362,115.05,114.11
124,Yemen,136,4.077,147,3.7239999999999998,99.42,97.02
125,Angola,137,4.033,141,3.866,100.24,97.12
126,Mali,138,3.995,135,4.073,107.98,108.83
127,Comoros,140,3.9560000000000004,138,3.9560000000000004,97.49,95.46
128,Uganda,141,3.931,145,3.739,97.85,95.54
129,Senegal,142,3.904,128,4.218999999999999,108.66,107.07
130,Gabon,143,3.8960000000000004,134,4.121,74.19,72.87
131,Niger,144,3.845,142,3.8560000000000003,140.95,140.37
132,Cambodia,145,3.819,140,3.907,111.89,109.49
133,Tanzania,146,3.781,149,3.6660000000000004,99.15,97.67
134,Madagascar,147,3.681,148,3.695,160.59,157.44
135,Chad,149,3.667,144,3.763,163.49,161.38
136,Guinea,150,3.656,151,3.6069999999999998,167.47,163.77
137,Burkina Faso,152,3.5869999999999997,145,3.739,137.96,136.0
138,Afghanistan,153,3.575,154,3.36,191.8,186.67
139,Rwanda,154,3.465,152,3.515,100.56,98.5
140,Benin,155,3.34,153,3.484,119.29,115.81
141,Syria,156,3.0060000000000002,156,3.069,65.14,64.84
142,Burundi,157,2.905,157,2.905,146.91,144.36
143,Togo,158,2.839,155,3.303,121.15,118.16
